name,date,event,role,fee
Bruce Rainnie,2014-11-01,Induction Night - NS Sports Hall of Fame,Host,Unpaid
Karen Mair,2014-11-01,2014 Cox and Palmer LIterary Awards,Host,Unpaid
Dianne Buckner,2014-11-01,German Chamber of Industry and Commerce,Host,Paid
Amanda Lang,2014-10-31,North American Competitiveness and Innovation Conference (NACIC),Moderator,Unpaid
Waub Rice,2014-10-31,International Festival of Authors : Indigenous Canadian and Australian Authors,Moderator,Paid
Sean Kavanagh,2014-10-30,Manitoba Realtor Network Symposium,Panelist,Unpaid
Amanda Lang,2014-10-30,Chartered Institute of Management Accountants Conference on Innovation,Speech,Paid
Alan Neal,2014-10-30,Ottawa Writers Festival : The Namedropper Extravaganza: The All in a Day Songwriter Night,Host,Unpaid
Kristy Kirkup,2014-10-30,Aga Khan Foundation Canada : Making the Grade in Global Education,Moderator,Unpaid
Bruce Rainnie,2014-10-30,Summerside Chamber of Commerce Business Awards Night,Host,Unpaid
Adrienne Arsenault,2014-10-30,Médecins Sans Frontières: Stopping Ebola,Host,Unpaid
Jo-Ann Roberts Kelly,2014-10-29,Victoria Mayoral Candidates Forum,Moderator,Unpaid
Mark Connolly,2014-10-29,Canadian Patient Safety Institute Forum on Patient Safety and Quality Improvement,Host,Paid
Adrian Harewood,2014-10-28,Doctors Without Borders : Stopping Ebola,Host,Unpaid
Chris Walker,2014-10-28,Gordon Lightfoot Concert (Kelowna),Host,Unpaid
Heather Hiscox,2014-10-28,Canada's Safest Employers Annual Awards Gala,Host,Paid
Kim Brunhuber,2014-10-28,Sick Kids Hospital Leadership Series,Moderator,Unpaid
Amanda Lang,2014-10-27,2014 ASA - CICBV Business Valuation Conference,Keynote,Paid
Amanda Lang,2014-10-27,Toronto Global Forum,Moderator,Unpaid
Laurence Wall,2014-10-27,"Ottawa Writers Festival : Living History: In the Shadow of War with Margaret Sweatman, Johanna Skibsrud and Frances Itani",Host,Unpaid
Rosemary Barton,2014-10-27,Ottawa Writers Festival :  The Morning After With Chantal Hébert,Host,Unpaid
Hance Colburne,2014-10-27,Saint John String Quartet CD Launch,Host,Unpaid
Sabrina Marandola,2014-10-26,Alma Canada Bursary Program,Host,Unpaid
Doug Herbert,2014-10-26,Gordon Lightfoot Concert (Kamloops),Host,Unpaid
Adrian Harewood,2014-10-26,Ottawa Writers Festival : Lament for a Nation: An Ethical Challenge with David Austin & Anthony Stewart,Host,Unpaid
Sandra Abma,2014-10-26,Ottawa Writers Festival : The Paying Guests: One-on-one with Sarah Waters,Host,Unpaid
Karen Mair,2014-10-26,Island Media Arts Festival Gala,Host,Unpaid
Sandi Coleman,2014-10-25,YNKlude Art Society,Host,Unpaid
Andrew Chang,2014-10-25,Gordon Lightfoot Concert (Vancouver),Host,Unpaid
Stephen Quinn,2014-10-25,B.C. Beer Awards,Host,Unpaid
John Sauder,2014-10-25,Western Canada Aviation Museum Fundraiser,Host,Unpaid
Nil Koksal,2014-10-25,Hush Hush Toronto Public Library Fundraiser,Participant,Unpaid
Adrian Harewood,2014-10-25,Accountable Development Works : Benefit Concert for Ebola Outbreak,Host,Unpaid
Laurence Wall,2014-10-25,Ottawa Writers Festival : Escape from North Korea with Lucia Lang and Susan McCelland,Host,Unpaid
Alan Neal,2014-10-25,"Ottawa Public Library : Kids ""Lit Café""",Host,Unpaid
Laurence Wall,2014-10-25,Liszt's Dante Symphony,Host,Unpaid
Debra Arbec,2014-10-25,Joliette High School Convocation Address,Speech,Unpaid
Matt Rainnie,2014-10-25,West Kent Fall Fair Fundraiser,Host,Unpaid
Gloria Macarenko,2014-10-24,Dr. Peter Aids Foundation Life Commitment Dinner,Host,Unpaid
Mark Connolly,2014-10-24,Walk In Counselling Society,Host,Unpaid
Stephen Quinn,2014-10-24,Writers Festival : In Conversation with Justin Trudeau,Host,Unpaid
Janet Stewart,2014-10-24,Women of Winnipeg Luncheon,Speech,Unpaid
Lucy van Oldenbarneveld,2014-10-24,"Ottawa International Writers Festival : Before the Truth with Eliza Robertson, Joan Thomas and Elizabeth Renzetti",Host,Unpaid
Rachel Cave,2014-10-24,Sophia Recovery Centre Fundraiser,Host,Unpaid
David Common,2014-10-24,Munk School of Global Affairs Career Week,Panelist,Unpaid
Gregor Craigie,2014-10-23,Gordon Lightfoot Concert (Victoria),Host,Unpaid
Alan Neal,2014-10-23,Ottawa Writers Festival : Where I Belong: Small Town and Great Big Sea with Alan Doyle,Host,Unpaid
Ian Black,2014-10-23,Children at Risk: Annual Celebrity Carved Pumpkin Contest,Host,Expenses
Louise Renault,2014-10-23,NS Nature Trust Annual Dinner & Auction,Host,Unpaid
Dianne Buckner,2014-10-23,Alberta Chartered Professional Accountants Annual Awards Night,Keynote,Paid
Amanda Lang,2014-10-22,Simon Fraser University Public Square,Moderator,Paid
Rick Cluff,2014-10-22,Massey Lectures,Moderator,Unpaid
John Sauder,2014-10-22,Sunvally School,Lecture,Unpaid
Evan Solomon,2014-10-22,Ensight Canada : Strategies and Soundbites Panel,Panelist,Unpaid
Kady O’Malley,2014-10-22,Ensight Canada : Strategies and Soundbites Panel,Panelist,Unpaid
Jonna Brewer,2014-10-22,Greater Moncton Chamber of Commerce Excellence Awards,Host,Unpaid
Mark Kelley,2014-10-22,Innovation that Sticks Fundraiser Reception,Host,Paid
Asha Tomlinson,2014-10-21,Windsor-Essex County Sports Hall of Fame Induction,Host,Unpaid
Tony Doucette,2014-10-21,Windsor-Essex County Sports Hall of Fame Induction,Host,Unpaid
Karin Larsen,2014-10-21,Canadian Association for the Advancement of Women in Sport: In Her Footsteps,Host,Unpaid
Gloria Macarenko,2014-10-21,Writer's Festival Opening Night,Host,Unpaid
Lucy van Oldenbarneveld,2014-10-21,Causeway Foundation : Holiday Card Campaign Launch,Host,Unpaid
Rosemary Barton,2014-10-21,Travers Debates 2014,Moderator,Unpaid
Brian Callahan,2014-10-21,Icecaps Hockey Game National Anthem,Appearance,Unpaid
Leisha Grebinski,2014-10-20,Massey Lectures,Host,Unpaid
Waub Rice,2014-10-20,Laurentian University : Indigenous Education Week,Speech,Paid
Preston Mulligan,2014-10-20,Giller Between the Pages:  An Evening with the Scotiabank Giller Prize Finalists,Appearance,Unpaid
Stephanie Domet,2014-10-20,Giller Between the Pages:  An Evening with the Scotiabank Giller Prize Finalists,Appearance,Unpaid
Jeanette Kelly,2014-10-19,Canadian International Organ Competition Gala,Host,Unpaid
Wendy Bergfeldt,2014-10-18,Celtic Colours International Festival: The Cape Breton Fiddlers,Host,Unpaid
Andrew Chang,2014-10-18,Richmond Hospital Foundation's Starlight Gala,Host,Unpaid
Johanna Wagstaffe,2014-10-18,Arts Umbrella SPLASH Gala,Host,Unpaid
Rick Cluff,2014-10-18,Arts Umbrella SPLASH Gala,Host,Unpaid
Lucy van Oldenbarneveld,2014-10-18,Flutter Foundation Cancer Fundraiser,Host,Unpaid
Carolyn Stokes,2014-10-17,St. John's International Women's Film Festival,Host,Unpaid
Peter Mansbridge,2014-10-17,5th Annual Land Awards Gala,Speech,Paid
Donna McElligott,2014-10-17,Alberta NDP - Provincial Leadership Debate,Moderator,Unpaid
